id,subject,topic_candidates,pdf,page_start,page_end,status
111-1-11-20,基礎醫學（包括解剖學、生理學與病理學）,,sources/111_1/11_Q.pdf,3,3,keyword_candidates_require_tutor_review
111-1-11-21,基礎醫學（包括解剖學、生理學與病理學）,MRI原理與技術,sources/111_1/11_Q.pdf,3,4,keyword_candidates_require_tutor_review
111-1-11-22,基礎醫學（包括解剖學、生理學與病理學）,消化系統;內分泌與代謝,sources/111_1/11_Q.pdf,4,4,keyword_candidates_require_tutor_review
111-1-11-23,基礎醫學（包括解剖學、生理學與病理學）,,sources/111_1/11_Q.pdf,4,4,keyword_candidates_require_tutor_review
111-1-11-24,基礎醫學（包括解剖學、生理學與病理學）,,sources/111_1/11_Q.pdf,4,4,keyword_candidates_require_tutor_review
111-1-11-25,基礎醫學（包括解剖學、生理學與病理學）,心血管系統,sources/111_1/11_Q.pdf,4,4,keyword_candidates_require_tutor_review
111-1-11-26,基礎醫學（包括解剖學、生理學與病理學）,心血管系統,sources/111_1/11_Q.pdf,4,4,keyword_candidates_require_tutor_review
111-1-11-27,基礎醫學（包括解剖學、生理學與病理學）,神經系統,sources/111_1/11_Q.pdf,4,4,keyword_candidates_require_tutor_review
111-1-11-28,基礎醫學（包括解剖學、生理學與病理學）,,sources/111_1/11_Q.pdf,4,4,keyword_candidates_require_tutor_review
111-1-11-29,基礎醫學（包括解剖學、生理學與病理學）,心血管系統;消化系統,sources/111_1/11_Q.pdf,5,5,keyword_candidates_require_tutor_review
111-1-11-30,基礎醫學（包括解剖學、生理學與病理學）,MRI原理與技術;骨骼肌肉解剖與病理,sources/111_1/11_Q.pdf,5,5,keyword_candidates_require_tutor_review
111-1-11-31,基礎醫學（包括解剖學、生理學與病理學）,神經系統,sources/111_1/11_Q.pdf,5,5,keyword_candidates_require_tutor_review
111-1-11-32,基礎醫學（包括解剖學、生理學與病理學）,,sources/111_1/11_Q.pdf,5,6,keyword_candidates_require_tutor_review
111-1-11-33,基礎醫學（包括解剖學、生理學與病理學）,泌尿與生殖系統,sources/111_1/11_Q.pdf,6,6,keyword_candidates_require_tutor_review
111-1-11-34,基礎醫學（包括解剖學、生理學與病理學）,神經系統;泌尿與生殖系統,sources/111_1/11_Q.pdf,6,6,keyword_candidates_require_tutor_review
111-1-11-35,基礎醫學（包括解剖學、生理學與病理學）,泌尿與生殖系統,sources/111_1/11_Q.pdf,6,6,keyword_candidates_require_tutor_review
111-1-11-36,基礎醫學（包括解剖學、生理學與病理學）,消化系統;內分泌與代謝,sources/111_1/11_Q.pdf,6,6,keyword_candidates_require_tutor_review
111-1-11-37,基礎醫學（包括解剖學、生理學與病理學）,消化系統,sources/111_1/11_Q.pdf,6,6,keyword_candidates_require_tutor_review
111-1-11-38,基礎醫學（包括解剖學、生理學與病理學）,神經系統,sources/111_1/11_Q.pdf,6,6,keyword_candidates_require_tutor_review
111-1-11-39,基礎醫學（包括解剖學、生理學與病理學）,攝影擺位與投照;神經系統,sources/111_1/11_Q.pdf,6,7,keyword_candidates_require_tutor_review
111-1-11-40,基礎醫學（包括解剖學、生理學與病理學）,內分泌與代謝,sources/111_1/11_Q.pdf,7,7,keyword_candidates_require_tutor_review
111-1-11-41,基礎醫學（包括解剖學、生理學與病理學）,骨骼肌肉解剖與病理,sources/111_1/11_Q.pdf,7,7,keyword_candidates_require_tutor_review
111-1-11-42,基礎醫學（包括解剖學、生理學與病理學）,攝影擺位與投照;心血管系統,sources/111_1/11_Q.pdf,7,7,keyword_candidates_require_tutor_review
111-1-11-43,基礎醫學（包括解剖學、生理學與病理學）,骨骼肌肉解剖與病理;內分泌與代謝,sources/111_1/11_Q.pdf,7,7,keyword_candidates_require_tutor_review
111-1-11-44,基礎醫學（包括解剖學、生理學與病理學）,,sources/111_1/11_Q.pdf,7,7,keyword_candidates_require_tutor_review
111-1-11-45,基礎醫學（包括解剖學、生理學與病理學）,,sources/111_1/11_Q.pdf,7,7,keyword_candidates_require_tutor_review
111-1-11-46,基礎醫學（包括解剖學、生理學與病理學）,心血管系統,sources/111_1/11_Q.pdf,7,7,keyword_candidates_require_tutor_review
111-1-11-47,基礎醫學（包括解剖學、生理學與病理學）,呼吸系統;內分泌與代謝,sources/111_1/11_Q.pdf,7,8,keyword_candidates_require_tutor_review
111-1-11-48,基礎醫學（包括解剖學、生理學與病理學）,呼吸系統,sources/111_1/11_Q.pdf,8,8,keyword_candidates_require_tutor_review
111-1-11-49,基礎醫學（包括解剖學、生理學與病理學）,,sources/111_1/11_Q.pdf,8,8,keyword_candidates_require_tutor_review
111-1-11-50,基礎醫學（包括解剖學、生理學與病理學）,心血管系統;泌尿與生殖系統,sources/111_1/11_Q.pdf,8,8,keyword_candidates_require_tutor_review
111-1-11-51,基礎醫學（包括解剖學、生理學與病理學）,泌尿與生殖系統,sources/111_1/11_Q.pdf,8,8,keyword_candidates_require_tutor_review
111-1-11-52,基礎醫學（包括解剖學、生理學與病理學）,心血管系統;泌尿與生殖系統;內分泌與代謝,sources/111_1/11_Q.pdf,8,8,keyword_candidates_require_tutor_review
111-1-11-53,基礎醫學（包括解剖學、生理學與病理學）,消化系統,sources/111_1/11_Q.pdf,8,8,keyword_candidates_require_tutor_review
111-1-11-54,基礎醫學（包括解剖學、生理學與病理學）,神經系統;消化系統,sources/111_1/11_Q.pdf,8,9,keyword_candidates_require_tutor_review
111-1-11-55,基礎醫學（包括解剖學、生理學與病理學）,消化系統;內分泌與代謝,sources/111_1/11_Q.pdf,9,9,keyword_candidates_require_tutor_review
111-1-11-56,基礎醫學（包括解剖學、生理學與病理學）,內分泌與代謝,sources/111_1/11_Q.pdf,9,9,keyword_candidates_require_tutor_review
111-1-11-57,基礎醫學（包括解剖學、生理學與病理學）,心血管系統;內分泌與代謝,sources/111_1/11_Q.pdf,9,9,keyword_candidates_require_tutor_review
111-1-11-58,基礎醫學（包括解剖學、生理學與病理學）,血液免疫與一般病理,sources/111_1/11_Q.pdf,9,9,keyword_candidates_require_tutor_review
111-1-11-59,基礎醫學（包括解剖學、生理學與病理學）,癌症與臨床放療,sources/111_1/11_Q.pdf,9,9,keyword_candidates_require_tutor_review
111-1-11-60,基礎醫學（包括解剖學、生理學與病理學）,血液免疫與一般病理,sources/111_1/11_Q.pdf,9,9,keyword_candidates_require_tutor_review
111-1-11-61,基礎醫學（包括解剖學、生理學與病理學）,癌症與臨床放療;心血管系統;血液免疫與一般病理,sources/111_1/11_Q.pdf,9,10,keyword_candidates_require_tutor_review
111-1-11-62,基礎醫學（包括解剖學、生理學與病理學）,MRI原理與技術;血液免疫與一般病理,sources/111_1/11_Q.pdf,10,10,keyword_candidates_require_tutor_review
111-1-11-63,基礎醫學（包括解剖學、生理學與病理學）,內分泌與代謝;血液免疫與一般病理,sources/111_1/11_Q.pdf,10,10,keyword_candidates_require_tutor_review
111-1-11-64,基礎醫學（包括解剖學、生理學與病理學）,內分泌與代謝,sources/111_1/11_Q.pdf,10,10,keyword_candidates_require_tutor_review
111-1-11-65,基礎醫學（包括解剖學、生理學與病理學）,骨骼肌肉解剖與病理;神經系統,sources/111_1/11_Q.pdf,10,10,keyword_candidates_require_tutor_review
111-1-11-66,基礎醫學（包括解剖學、生理學與病理學）,神經系統;血液免疫與一般病理,sources/111_1/11_Q.pdf,10,10,keyword_candidates_require_tutor_review
111-1-11-67,基礎醫學（包括解剖學、生理學與病理學）,,sources/111_1/11_Q.pdf,10,10,keyword_candidates_require_tutor_review
111-1-11-68,基礎醫學（包括解剖學、生理學與病理學）,癌症與臨床放療,sources/111_1/11_Q.pdf,10,11,keyword_candidates_require_tutor_review
111-1-11-69,基礎醫學（包括解剖學、生理學與病理學）,癌症與臨床放療,sources/111_1/11_Q.pdf,11,11,keyword_candidates_require_tutor_review
111-1-11-70,基礎醫學（包括解剖學、生理學與病理學）,血液免疫與一般病理,sources/111_1/11_Q.pdf,11,11,keyword_candidates_require_tutor_review
111-1-11-71,基礎醫學（包括解剖學、生理學與病理學）,心血管系統,sources/111_1/11_Q.pdf,11,11,keyword_candidates_require_tutor_review
111-1-11-72,基礎醫學（包括解剖學、生理學與病理學）,呼吸系統,sources/111_1/11_Q.pdf,11,11,keyword_candidates_require_tutor_review
111-1-11-73,基礎醫學（包括解剖學、生理學與病理學）,MRI原理與技術;骨骼肌肉解剖與病理,sources/111_1/11_Q.pdf,11,11,keyword_candidates_require_tutor_review
111-1-11-74,基礎醫學（包括解剖學、生理學與病理學）,消化系統,sources/111_1/11_Q.pdf,11,11,keyword_candidates_require_tutor_review
111-1-11-75,基礎醫學（包括解剖學、生理學與病理學）,MRI原理與技術;放射藥物與核種製備,sources/111_1/11_Q.pdf,11,12,keyword_candidates_require_tutor_review
111-1-11-76,基礎醫學（包括解剖學、生理學與病理學）,消化系統;內分泌與代謝,sources/111_1/11_Q.pdf,12,12,keyword_candidates_require_tutor_review
111-1-11-77,基礎醫學（包括解剖學、生理學與病理學）,,sources/111_1/11_Q.pdf,12,12,keyword_candidates_require_tutor_review
111-1-11-78,基礎醫學（包括解剖學、生理學與病理學）,骨骼肌肉解剖與病理;血液免疫與一般病理,sources/111_1/11_Q.pdf,12,12,keyword_candidates_require_tutor_review
111-1-11-79,基礎醫學（包括解剖學、生理學與病理學）,癌症與臨床放療,sources/111_1/11_Q.pdf,12,12,keyword_candidates_require_tutor_review
111-1-11-80,基礎醫學（包括解剖學、生理學與病理學）,癌症與臨床放療;泌尿與生殖系統,sources/111_1/11_Q.pdf,12,12,keyword_candidates_require_tutor_review
111-1-22-01,醫學物理學與輻射安全,核衰變與核種平衡;半衰期與活度,sources/111_1/22_Q.pdf,1,1,keyword_candidates_require_tutor_review
111-1-22-02,醫學物理學與輻射安全,核衰變與核種平衡;半衰期與活度,sources/111_1/22_Q.pdf,1,1,keyword_candidates_require_tutor_review
111-1-22-03,醫學物理學與輻射安全,半衰期與活度,sources/111_1/22_Q.pdf,1,1,keyword_candidates_require_tutor_review
111-1-22-04,醫學物理學與輻射安全,,sources/111_1/22_Q.pdf,1,1,keyword_candidates_require_tutor_review
111-1-22-05,醫學物理學與輻射安全,核衰變與核種平衡;X光產生與能譜,sources/111_1/22_Q.pdf,1,1,keyword_candidates_require_tutor_review
111-1-22-06,醫學物理學與輻射安全,偵檢器與計數統計;核醫PET,sources/111_1/22_Q.pdf,1,2,keyword_candidates_require_tutor_review
111-1-22-07,醫學物理學與輻射安全,,sources/111_1/22_Q.pdf,2,2,keyword_candidates_require_tutor_review
111-1-22-08,醫學物理學與輻射安全,核衰變與核種平衡;偵檢器與計數統計;核醫PET,sources/111_1/22_Q.pdf,2,2,keyword_candidates_require_tutor_review
111-1-22-09,醫學物理學與輻射安全,核衰變與核種平衡,sources/111_1/22_Q.pdf,2,2,keyword_candidates_require_tutor_review
111-1-22-10,醫學物理學與輻射安全,偵檢器與計數統計;影像品質與數位影像,sources/111_1/22_Q.pdf,2,2,keyword_candidates_require_tutor_review
111-1-22-11,醫學物理學與輻射安全,超音波原理與技術;影像品質與數位影像;放射藥物與核種製備,sources/111_1/22_Q.pdf,2,2,keyword_candidates_require_tutor_review
111-1-22-12,醫學物理學與輻射安全,超音波原理與技術;影像品質與數位影像,sources/111_1/22_Q.pdf,2,2,keyword_candidates_require_tutor_review
111-1-22-13,醫學物理學與輻射安全,超音波原理與技術,sources/111_1/22_Q.pdf,2,3,keyword_candidates_require_tutor_review
111-1-22-14,醫學物理學與輻射安全,MRI原理與技術;超音波原理與技術,sources/111_1/22_Q.pdf,3,3,keyword_candidates_require_tutor_review
111-1-22-15,醫學物理學與輻射安全,MRI原理與技術;影像品質與數位影像,sources/111_1/22_Q.pdf,3,3,keyword_candidates_require_tutor_review
111-1-22-16,醫學物理學與輻射安全,MRI原理與技術;骨骼肌肉解剖與病理,sources/111_1/22_Q.pdf,3,3,keyword_candidates_require_tutor_review
111-1-22-17,醫學物理學與輻射安全,衰減與屏蔽,sources/111_1/22_Q.pdf,3,3,keyword_candidates_require_tutor_review
111-1-22-18,醫學物理學與輻射安全,MRI原理與技術;影像品質與數位影像,sources/111_1/22_Q.pdf,3,3,keyword_candidates_require_tutor_review
111-1-22-19,醫學物理學與輻射安全,MRI原理與技術,sources/111_1/22_Q.pdf,3,3,keyword_candidates_require_tutor_review
111-1-22-20,醫學物理學與輻射安全,,sources/111_1/22_Q.pdf,3,4,keyword_candidates_require_tutor_review
111-1-22-21,醫學物理學與輻射安全,核衰變與核種平衡,sources/111_1/22_Q.pdf,4,4,keyword_candidates_require_tutor_review
111-1-22-22,醫學物理學與輻射安全,放射治療計畫與劑量,sources/111_1/22_Q.pdf,4,4,keyword_candidates_require_tutor_review
111-1-22-23,醫學物理學與輻射安全,光子與物質交互作用,sources/111_1/22_Q.pdf,4,4,keyword_candidates_require_tutor_review
111-1-22-24,醫學物理學與輻射安全,X光產生與能譜,sources/111_1/22_Q.pdf,4,4,keyword_candidates_require_tutor_review
111-1-22-25,醫學物理學與輻射安全,X光產生與能譜,sources/111_1/22_Q.pdf,4,4,keyword_candidates_require_tutor_review
111-1-22-26,醫學物理學與輻射安全,MRI原理與技術,sources/111_1/22_Q.pdf,4,4,keyword_candidates_require_tutor_review
111-1-22-27,醫學物理學與輻射安全,輻射量與劑量學;偵檢器與計數統計,sources/111_1/22_Q.pdf,4,5,keyword_candidates_require_tutor_review
111-1-22-28,醫學物理學與輻射安全,輻射量與劑量學,sources/111_1/22_Q.pdf,5,5,keyword_candidates_require_tutor_review
111-1-22-29,醫學物理學與輻射安全,輻射量與劑量學;偵檢器與計數統計,sources/111_1/22_Q.pdf,5,5,keyword_candidates_require_tutor_review
111-1-22-30,醫學物理學與輻射安全,輻射量與劑量學,sources/111_1/22_Q.pdf,5,5,keyword_candidates_require_tutor_review
111-1-22-31,醫學物理學與輻射安全,底片與影像接受器;對比劑與特殊攝影,sources/111_1/22_Q.pdf,5,5,keyword_candidates_require_tutor_review
111-1-22-32,醫學物理學與輻射安全,偵檢器與計數統計;CT原理與技術;放射藥物與核種製備,sources/111_1/22_Q.pdf,5,5,keyword_candidates_require_tutor_review
111-1-22-33,醫學物理學與輻射安全,底片與影像接受器,sources/111_1/22_Q.pdf,5,5,keyword_candidates_require_tutor_review
111-1-22-34,醫學物理學與輻射安全,,sources/111_1/22_Q.pdf,5,6,keyword_candidates_require_tutor_review
111-1-22-35,醫學物理學與輻射安全,MRI原理與技術;神經系統,sources/111_1/22_Q.pdf,6,6,keyword_candidates_require_tutor_review
111-1-22-36,醫學物理學與輻射安全,放射治療計畫與劑量;癌症與臨床放療,sources/111_1/22_Q.pdf,6,6,keyword_candidates_require_tutor_review
111-1-22-37,醫學物理學與輻射安全,衰減與屏蔽;放射治療計畫與劑量,sources/111_1/22_Q.pdf,6,6,keyword_candidates_require_tutor_review
111-1-22-38,醫學物理學與輻射安全,放射治療計畫與劑量,sources/111_1/22_Q.pdf,6,6,keyword_candidates_require_tutor_review
111-1-22-39,醫學物理學與輻射安全,衰減與屏蔽;放射治療計畫與劑量,sources/111_1/22_Q.pdf,6,6,keyword_candidates_require_tutor_review
111-1-22-40,醫學物理學與輻射安全,放射治療計畫與劑量,sources/111_1/22_Q.pdf,6,7,keyword_candidates_require_tutor_review
111-1-22-41,醫學物理學與輻射安全,輻射量與劑量學;輻射防護與法規;骨骼肌肉解剖與病理;呼吸系統;內分泌與代謝,sources/111_1/22_Q.pdf,7,7,keyword_candidates_require_tutor_review
111-1-22-42,醫學物理學與輻射安全,輻射防護與法規,sources/111_1/22_Q.pdf,7,7,keyword_candidates_require_tutor_review
111-1-22-43,醫學物理學與輻射安全,輻射量與劑量學;輻射防護與法規,sources/111_1/22_Q.pdf,7,7,keyword_candidates_require_tutor_review
111-1-22-44,醫學物理學與輻射安全,輻射量與劑量學;輻射防護與法規,sources/111_1/22_Q.pdf,7,7,keyword_candidates_require_tutor_review
111-1-22-45,醫學物理學與輻射安全,消化系統,sources/111_1/22_Q.pdf,7,7,keyword_candidates_require_tutor_review
111-1-22-46,醫學物理學與輻射安全,輻射量與劑量學;輻射防護與法規;MRI原理與技術,sources/111_1/22_Q.pdf,7,7,keyword_candidates_require_tutor_review
111-1-22-47,醫學物理學與輻射安全,衰減與屏蔽,sources/111_1/22_Q.pdf,7,8,keyword_candidates_require_tutor_review
111-1-22-48,醫學物理學與輻射安全,輻射量與劑量學,sources/111_1/22_Q.pdf,8,8,keyword_candidates_require_tutor_review
111-1-22-49,醫學物理學與輻射安全,偵檢器與計數統計,sources/111_1/22_Q.pdf,8,8,keyword_candidates_require_tutor_review
111-1-22-50,醫學物理學與輻射安全,偵檢器與計數統計;放射藥物與核種製備,sources/111_1/22_Q.pdf,8,8,keyword_candidates_require_tutor_review
111-1-22-51,醫學物理學與輻射安全,,sources/111_1/22_Q.pdf,8,8,keyword_candidates_require_tutor_review
111-1-22-52,醫學物理學與輻射安全,輻射量與劑量學;偵檢器與計數統計,sources/111_1/22_Q.pdf,8,8,keyword_candidates_require_tutor_review
111-1-22-53,醫學物理學與輻射安全,偵檢器與計數統計;放射生物學,sources/111_1/22_Q.pdf,8,8,keyword_candidates_require_tutor_review
111-1-22-54,醫學物理學與輻射安全,輻射量與劑量學;放射生物學,sources/111_1/22_Q.pdf,8,9,keyword_candidates_require_tutor_review
111-1-22-55,醫學物理學與輻射安全,偵檢器與計數統計,sources/111_1/22_Q.pdf,9,9,keyword_candidates_require_tutor_review
111-1-22-56,醫學物理學與輻射安全,輻射量與劑量學;偵檢器與計數統計,sources/111_1/22_Q.pdf,9,9,keyword_candidates_require_tutor_review
111-1-22-57,醫學物理學與輻射安全,衰減與屏蔽;放射治療計畫與劑量,sources/111_1/22_Q.pdf,9,9,keyword_candidates_require_tutor_review
111-1-22-58,醫學物理學與輻射安全,衰減與屏蔽;輻射量與劑量學,sources/111_1/22_Q.pdf,9,9,keyword_candidates_require_tutor_review
111-1-22-59,醫學物理學與輻射安全,衰減與屏蔽;X光產生與能譜;輻射防護與法規,sources/111_1/22_Q.pdf,9,9,keyword_candidates_require_tutor_review
111-1-22-60,醫學物理學與輻射安全,衰減與屏蔽,sources/111_1/22_Q.pdf,9,9,keyword_candidates_require_tutor_review
111-1-22-61,醫學物理學與輻射安全,衰減與屏蔽,sources/111_1/22_Q.pdf,9,10,keyword_candidates_require_tutor_review
111-1-22-62,醫學物理學與輻射安全,衰減與屏蔽,sources/111_1/22_Q.pdf,10,10,keyword_candidates_require_tutor_review
111-1-22-63,醫學物理學與輻射安全,放射生物學,sources/111_1/22_Q.pdf,10,10,keyword_candidates_require_tutor_review
111-1-22-64,醫學物理學與輻射安全,放射生物學,sources/111_1/22_Q.pdf,10,10,keyword_candidates_require_tutor_review
111-1-22-65,醫學物理學與輻射安全,輻射量與劑量學,sources/111_1/22_Q.pdf,10,10,keyword_candidates_require_tutor_review
111-1-22-66,醫學物理學與輻射安全,放射生物學,sources/111_1/22_Q.pdf,10,10,keyword_candidates_require_tutor_review
111-1-22-67,醫學物理學與輻射安全,輻射量與劑量學;神經系統;消化系統,sources/111_1/22_Q.pdf,10,10,keyword_candidates_require_tutor_review
111-1-22-68,醫學物理學與輻射安全,放射生物學,sources/111_1/22_Q.pdf,10,11,keyword_candidates_require_tutor_review
111-1-22-69,醫學物理學與輻射安全,,sources/111_1/22_Q.pdf,11,11,keyword_candidates_require_tutor_review
111-1-22-70,醫學物理學與輻射安全,輻射量與劑量學;輻射防護與法規;放療設備與品保,sources/111_1/22_Q.pdf,11,11,keyword_candidates_require_tutor_review
111-1-22-71,醫學物理學與輻射安全,放療設備與品保,sources/111_1/22_Q.pdf,11,11,keyword_candidates_require_tutor_review
111-1-22-72,醫學物理學與輻射安全,半衰期與活度,sources/111_1/22_Q.pdf,11,11,keyword_candidates_require_tutor_review
111-1-22-73,醫學物理學與輻射安全,核衰變與核種平衡;衰減與屏蔽;CT原理與技術;MRI原理與技術;放射藥物與核種製備;神經系統,sources/111_1/22_Q.pdf,11,11,keyword_candidates_require_tutor_review
111-1-22-74,醫學物理學與輻射安全,偵檢器與計數統計,sources/111_1/22_Q.pdf,11,11,keyword_candidates_require_tutor_review
111-1-22-75,醫學物理學與輻射安全,輻射防護與法規,sources/111_1/22_Q.pdf,11,12,keyword_candidates_require_tutor_review
111-1-22-76,醫學物理學與輻射安全,輻射防護與法規,sources/111_1/22_Q.pdf,12,12,keyword_candidates_require_tutor_review
111-1-22-77,醫學物理學與輻射安全,輻射量與劑量學;CT原理與技術;影像品質與數位影像;放療設備與品保;神經系統,sources/111_1/22_Q.pdf,12,12,keyword_candidates_require_tutor_review
111-1-22-78,醫學物理學與輻射安全,輻射防護與法規,sources/111_1/22_Q.pdf,12,12,keyword_candidates_require_tutor_review
111-1-22-79,醫學物理學與輻射安全,輻射防護與法規;放療設備與品保,sources/111_1/22_Q.pdf,12,12,keyword_candidates_require_tutor_review
111-1-22-80,醫學物理學與輻射安全,輻射防護與法規,sources/111_1/22_Q.pdf,12,12,keyword_candidates_require_tutor_review
111-1-33-01,放射線器材學（包括磁振學與超音波學）,X光產生與能譜,sources/111_1/33_Q.pdf,1,1,keyword_candidates_require_tutor_review
111-1-33-02,放射線器材學（包括磁振學與超音波學）,,sources/111_1/33_Q.pdf,1,1,keyword_candidates_require_tutor_review
111-1-33-03,放射線器材學（包括磁振學與超音波學）,偵檢器與計數統計;MRI原理與技術;神經系統,sources/111_1/33_Q.pdf,1,1,keyword_candidates_require_tutor_review
111-1-33-04,放射線器材學（包括磁振學與超音波學）,影像品質與數位影像;底片與影像接受器,sources/111_1/33_Q.pdf,1,1,keyword_candidates_require_tutor_review
111-1-33-05,放射線器材學（包括磁振學與超音波學）,對比劑與特殊攝影,sources/111_1/33_Q.pdf,1,1,keyword_candidates_require_tutor_review
111-1-33-06,放射線器材學（包括磁振學與超音波學）,,sources/111_1/33_Q.pdf,1,2,keyword_candidates_require_tutor_review
111-1-33-07,放射線器材學（包括磁振學與超音波學）,X光產生與能譜;輻射量與劑量學;放射藥物與核種製備;放射治療計畫與劑量;對比劑與特殊攝影,sources/111_1/33_Q.pdf,2,2,keyword_candidates_require_tutor_review
111-1-33-08,放射線器材學（包括磁振學與超音波學）,放射藥物與核種製備;放射治療計畫與劑量,sources/111_1/33_Q.pdf,2,2,keyword_candidates_require_tutor_review
111-1-33-09,放射線器材學（包括磁振學與超音波學）,影像品質與數位影像,sources/111_1/33_Q.pdf,2,2,keyword_candidates_require_tutor_review
111-1-33-10,放射線器材學（包括磁振學與超音波學）,MRI原理與技術,sources/111_1/33_Q.pdf,2,2,keyword_candidates_require_tutor_review
111-1-33-11,放射線器材學（包括磁振學與超音波學）,影像品質與數位影像;對比劑與特殊攝影,sources/111_1/33_Q.pdf,2,2,keyword_candidates_require_tutor_review
111-1-33-12,放射線器材學（包括磁振學與超音波學）,癌症與臨床放療;呼吸系統,sources/111_1/33_Q.pdf,2,2,keyword_candidates_require_tutor_review
111-1-33-13,放射線器材學（包括磁振學與超音波學）,衰減與屏蔽,sources/111_1/33_Q.pdf,2,3,keyword_candidates_require_tutor_review
111-1-33-14,放射線器材學（包括磁振學與超音波學）,X光產生與能譜;CT原理與技術;放射治療計畫與劑量;神經系統,sources/111_1/33_Q.pdf,3,3,keyword_candidates_require_tutor_review
111-1-33-15,放射線器材學（包括磁振學與超音波學）,MRI原理與技術;影像品質與數位影像;底片與影像接受器,sources/111_1/33_Q.pdf,3,3,keyword_candidates_require_tutor_review
111-1-33-16,放射線器材學（包括磁振學與超音波學）,光子與物質交互作用,sources/111_1/33_Q.pdf,3,3,keyword_candidates_require_tutor_review
111-1-33-17,放射線器材學（包括磁振學與超音波學）,影像品質與數位影像,sources/111_1/33_Q.pdf,3,3,keyword_candidates_require_tutor_review
111-1-33-18,放射線器材學（包括磁振學與超音波學）,X光產生與能譜;對比劑與特殊攝影,sources/111_1/33_Q.pdf,3,3,keyword_candidates_require_tutor_review
111-1-33-19,放射線器材學（包括磁振學與超音波學）,衰減與屏蔽;CT原理與技術;骨骼肌肉解剖與病理;神經系統,sources/111_1/33_Q.pdf,3,4,keyword_candidates_require_tutor_review
111-1-33-20,放射線器材學（包括磁振學與超音波學）,偵檢器與計數統計;CT原理與技術;放射藥物與核種製備,sources/111_1/33_Q.pdf,4,4,keyword_candidates_require_tutor_review
111-1-33-21,放射線器材學（包括磁振學與超音波學）,X光產生與能譜;輻射量與劑量學;對比劑與特殊攝影,sources/111_1/33_Q.pdf,4,4,keyword_candidates_require_tutor_review
111-1-33-22,放射線器材學（包括磁振學與超音波學）,CT原理與技術;影像品質與數位影像,sources/111_1/33_Q.pdf,4,4,keyword_candidates_require_tutor_review
